TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
58,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.6168,1782.67,35.42,2.602,BM256/BN256/BK128/mw2/nw2/nb2,2309.2
59,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad_tr,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,2.1446,512.69,10.19,0.058,BM256/BN256/BK128/mw2/nw2/nb2,2287.9
60,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,wgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.7321,1501.83,29.84,0.224,BM256/BN256/BK128/mw4/nw2/nb2,2287.8
61,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,fwd,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.3257,1687.92,33.54,2.386,BM256/BN256/BK128/mw2/nw2/nb2,2312.8
62,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.3141,1750.3,34.78,2.704,BM256/BN256/BK128/mw2/nw2/nb2,2314.6
63,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad_tr,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,1.137,483.51,9.61,0.516,BM256/BN256/BK128/mw2/nw2/nb2,2300.5
64,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,wgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.3724,1476.28,29.33,0.239,BM256/BN256/BK128/mw4/nw2/nb2,2323.5
65,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,fwd,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.1543,1905.01,37.85,0.409,BM256/BN256/BK128/mw2/nw2/nb2,2232.0
66,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.1184,1966.14,39.06,0.868,BM256/BN256/BK128/mw2/nw2/nb2,2224.9
67,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad_tr,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,2.6011,845.42,16.8,0.178,BM256/BN256/BK128/mw2/nw2/nb2,2245.6
68,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,wgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.2937,1699.73,33.77,0.617,BM256/BN256/BK128/mw4/nw2/nb2,2261.0
69,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,fwd,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.578,1902.4,37.8,0.039,BM256/BN256/BK128/mw2/nw2/nb2,2306.5
70,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.5785,1900.57,37.76,0.295,BM256/BN256/BK128/mw2/nw2/nb2,2300.1
71,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad_tr,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,1.6111,682.45,13.56,7.325,BM256/BN256/BK128/mw2/nw2/nb2,2331.4
72,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,wgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,1.0424,1054.77,20.96,11.93,BM256/BN256/BK128/mw4/nw2/nb2,2348.9
73,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,fwd,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.4311,557.97,11.09,33.548,BM128/BN128/BK128/mw2/nw2/nb2,2344.1
74,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.3076,781.94,15.54,7.911,BM128/BN128/BK128/mw2/nw2/nb2,2344.2
75,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad_tr,32,8,4096,1,128,4096,4096,7168,bf16,PASS,3.1743,75.77,1.51,1.573,BM128/BN128/BK128/mw2/nw2/nb2,2351.4
76,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,wgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.4517,532.53,10.58,0.302,BM256/BN256/BK128/mw4/nw2/nb2,2346.1
77,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,fwd,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.1667,721.48,14.33,0.408,BM128/BN128/BK128/mw2/nw2/nb2,2346.1
78,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.1587,757.95,15.06,0.749,BM128/BN128/BK128/mw2/nw2/nb2,2348.5
79,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad_tr,32,8,4096,1,128,4096,7168,2048,bf16,PASS,1.7375,69.21,1.38,0.079,BM128/BN128/BK128/mw2/nw2/nb2,2309.4
80,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,wgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.2126,565.55,11.24,0.009,BM256/BN256/BK128/mw4/nw2/nb2,2341.4
81,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,fwd,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.4303,1117.8,22.21,0.993,BM256/BN256/BK128/mw2/nw2/nb2,2312.2
82,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.4689,1025.89,20.38,0.863,BM256/BN256/BK128/mw2/nw2/nb2,2314.6
83,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad_tr,32,8,4096,2,256,8192,4096,7168,bf16,PASS,3.2541,147.82,2.94,0.007,BM256/BN256/BK128/mw2/nw2/nb2,2265.2
84,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,wgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.5898,815.55,16.2,0.055,BM256/BN256/BK128/mw4/nw2/nb2,2315.8
85,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,fwd,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.2287,1051.8,20.9,0.409,BM256/BN256/BK128/mw2/nw2/nb2,2331.8
86,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.2152,1117.61,22.2,1.635,BM256/BN256/BK128/mw2/nw2/nb2,2334.2
87,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad_tr,32,8,4096,2,256,8192,7168,2048,bf16,PASS,1.7943,134.04,2.66,0.048,BM256/BN256/BK128/mw2/nw2/nb2,2297.5
88,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,wgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.2878,835.62,16.6,0.076,BM256/BN256/BK128/mw4/nw2/nb2,2333.1
89,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,fwd,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.6477,1485.32,29.51,0.452,BM256/BN256/BK128/mw2/nw2/nb2,2279.4
90,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.6778,1419.34,28.2,0.33,BM256/BN256/BK128/mw2/nw2/nb2,2266.2
91,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad_tr,32,8,4096,4,512,16384,4096,7168,bf16,PASS,3.5337,272.26,5.41,0.097,BM256/BN256/BK128/mw2/nw2/nb2,2245.2
92,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,wgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.8242,1167.31,23.19,0.08,BM256/BN256/BK128/mw4/nw2/nb2,2282.5
93,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,fwd,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.3598,1336.97,26.56,1.372,BM256/BN256/BK128/mw2/nw2/nb2,2306.1
94,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.3293,1460.7,29.02,2.313,BM256/BN256/BK128/mw2/nw2/nb2,2312.1
95,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad_tr,32,8,4096,4,512,16384,7168,2048,bf16,PASS,1.9025,252.85,5.02,0.144,BM256/BN256/BK128/mw2/nw2/nb2,2283.9
96,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,wgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.4032,1192.91,23.7,0.205,BM256/BN256/BK128/mw4/nw2/nb2,2322.5
