TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
52,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,wgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.4426,1242.13,24.68,0.287,BM256/BN256/BK128/mw4/nw2/nb2,2214.9
53,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,fwd,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.1973,1393.55,27.69,1.182,BM256/BN256/BK128/mw2/nw2/nb2,2196.0
54,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.1978,1389.42,27.61,0.815,BM256/BN256/BK128/mw2/nw2/nb2,2186.6
55,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad_tr,16,8,8192,1,512,8192,4096,4096,bf16,PASS,1.0447,263.12,5.23,0.31,BM256/BN256/BK128/mw2/nw2/nb2,2212.8
56,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,wgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.2246,1223.61,24.31,0.432,BM256/BN256/BK128/mw4/nw2/nb2,2250.2
57,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,fwd,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.6462,1701.6,33.81,0.355,BM256/BN256/BK128/mw2/nw2/nb2,2062.5
58,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.6265,1755.0,34.87,0.203,BM256/BN256/BK128/mw2/nw2/nb2,2046.5
59,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad_tr,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,2.1355,514.88,10.23,0.168,BM256/BN256/BK128/mw2/nw2/nb2,2182.8
60,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,wgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.7235,1519.75,30.19,0.151,BM256/BN256/BK128/mw4/nw2/nb2,2138.4
61,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,fwd,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.3282,1674.92,33.28,0.711,BM256/BN256/BK128/mw2/nw2/nb2,2123.8
62,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.3273,1679.62,33.37,0.339,BM256/BN256/BK128/mw2/nw2/nb2,2122.2
63,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad_tr,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,1.1746,468.04,9.3,0.162,BM256/BN256/BK128/mw2/nw2/nb2,2186.0
64,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,wgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.369,1489.95,29.6,0.425,BM256/BN256/BK128/mw4/nw2/nb2,2183.6
65,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,fwd,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.1447,1921.05,38.17,0.281,BM256/BN256/BK128/mw2/nw2/nb2,2026.0
66,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.1146,1972.88,39.2,0.129,BM256/BN256/BK128/mw2/nw2/nb2,2009.4
67,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,dgrad_tr,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,2.6373,833.82,16.57,0.13,BM256/BN256/BK128/mw2/nw2/nb2,2137.9
68,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,wgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.2823,1714.88,34.07,0.127,BM256/BN256/BK128/mw4/nw2/nb2,2081.1
69,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,fwd,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.5795,1897.28,37.7,0.1,BM256/BN256/BK128/mw2/nw2/nb2,2074.1
70,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.5796,1896.97,37.69,0.138,BM256/BN256/BK128/mw2/nw2/nb2,2060.6
71,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,dgrad_tr,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,1.417,775.95,15.42,0.311,BM256/BN256/BK128/mw2/nw2/nb2,2150.8
72,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc2,wgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.6503,1690.89,33.59,0.102,BM256/BN256/BK128/mw4/nw2/nb2,2107.9
73,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,fwd,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.2913,825.69,16.4,0.609,BM128/BN128/BK128/mw2/nw2/nb2,2128.1
74,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.2923,822.71,16.35,0.372,BM128/BN128/BK128/mw2/nw2/nb2,2131.2
75,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad_tr,32,8,4096,1,128,4096,4096,7168,bf16,PASS,3.2135,74.85,1.49,0.386,BM128/BN128/BK128/mw2/nw2/nb2,2201.2
76,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,wgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.4142,580.72,11.54,0.066,BM256/BN256/BK128/mw4/nw2/nb2,2300.8
77,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,fwd,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.161,746.74,14.84,1.697,BM128/BN128/BK128/mw2/nw2/nb2,2233.6
78,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.1584,759.4,15.09,0.543,BM128/BN128/BK128/mw2/nw2/nb2,2220.1
79,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad_tr,32,8,4096,1,128,4096,7168,2048,bf16,PASS,1.8078,66.52,1.32,0.19,BM128/BN128/BK128/mw2/nw2/nb2,2211.1
80,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,wgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.1885,638.06,12.68,0.144,BM256/BN256/BK128/mw4/nw2/nb2,2292.6
81,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,fwd,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.4257,1129.96,22.45,0.241,BM256/BN256/BK128/mw2/nw2/nb2,2126.0
82,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.4335,1109.77,22.05,0.564,BM256/BN256/BK128/mw2/nw2/nb2,2112.6
83,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad_tr,32,8,4096,2,256,8192,4096,7168,bf16,PASS,3.369,142.78,2.84,0.301,BM256/BN256/BK128/mw2/nw2/nb2,2198.0
84,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,wgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.5414,888.57,17.65,0.082,BM256/BN256/BK128/mw4/nw2/nb2,2256.4
85,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,fwd,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.2354,1021.56,20.3,0.443,BM256/BN256/BK128/mw2/nw2/nb2,2201.2
86,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.2183,1101.62,21.89,0.514,BM256/BN256/BK128/mw2/nw2/nb2,2188.5
87,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad_tr,32,8,4096,2,256,8192,7168,2048,bf16,PASS,1.8644,129.0,2.56,0.208,BM256/BN256/BK128/mw2/nw2/nb2,2204.4
88,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,wgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.2643,909.89,18.08,0.427,BM256/BN256/BK128/mw4/nw2/nb2,2263.6
89,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,fwd,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.6525,1474.43,29.29,0.205,BM256/BN256/BK128/mw2/nw2/nb2,2065.4
90,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.6854,1403.66,27.89,0.188,BM256/BN256/BK128/mw2/nw2/nb2,2062.9
91,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,dgrad_tr,32,8,4096,4,512,16384,4096,7168,bf16,PASS,3.6326,264.85,5.26,0.277,BM256/BN256/BK128/mw2/nw2/nb2,2182.2
92,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc1,wgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.7891,1219.2,24.22,0.198,BM256/BN256/BK128/mw4/nw2/nb2,2183.1
93,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,fwd,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.3683,1305.99,25.95,0.479,BM256/BN256/BK128/mw2/nw2/nb2,2144.6
94,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.3338,1441.22,28.63,0.43,BM256/BN256/BK128/mw2/nw2/nb2,2122.6
95,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,dgrad_tr,32,8,4096,4,512,16384,7168,2048,bf16,PASS,1.987,242.09,4.81,0.117,BM256/BN256/BK128/mw2/nw2/nb2,2185.9
96,ROCm,Graphics,FLYDSL-STANDALONE,deepseek-v3,fc2,wgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.3874,1241.72,24.67,0.284,BM256/BN256/BK128/mw4/nw2/nb2,2200.2
