TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
53,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,dgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.7641,1438.97,28.59,0.181,,2130.5
54,ROCm,Graphics,TRITON,qwen3-235b-a22b,fc2,wgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,1.2679,867.22,17.23,0.169,,2249.8
55,ROCm,Graphics,TRITON,deepseek-v3,fc1,fwd,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.3619,664.62,13.2,0.634,,2165.8
56,ROCm,Graphics,TRITON,deepseek-v3,fc1,dgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.3856,623.78,12.39,0.481,,2180.0
57,ROCm,Graphics,TRITON,deepseek-v3,fc1,wgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.9505,253.05,5.03,0.041,,2272.2
58,ROCm,Graphics,TRITON,deepseek-v3,fc2,fwd,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.221,544.07,10.81,2.276,,2246.4
59,ROCm,Graphics,TRITON,deepseek-v3,fc2,dgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.1722,698.19,13.87,0.789,,2226.0
60,ROCm,Graphics,TRITON,deepseek-v3,fc2,wgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.4205,285.98,5.68,0.117,,2287.2
61,ROCm,Graphics,TRITON,deepseek-v3,fc1,fwd,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.3702,1299.5,25.82,0.361,,2162.2
62,ROCm,Graphics,TRITON,deepseek-v3,fc1,dgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,0.3978,1209.17,24.02,0.505,,2170.0
63,ROCm,Graphics,TRITON,deepseek-v3,fc1,wgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,1.1944,402.75,8.0,0.077,,2265.9
64,ROCm,Graphics,TRITON,deepseek-v3,fc2,fwd,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.2299,1046.3,20.79,1.451,,2239.4
65,ROCm,Graphics,TRITON,deepseek-v3,fc2,dgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.1789,1344.4,26.71,0.61,,2214.1
66,ROCm,Graphics,TRITON,deepseek-v3,fc2,wgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.5315,452.53,8.99,0.062,,2277.0
67,ROCm,Graphics,TRITON,deepseek-v3,fc1,fwd,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.7031,1368.41,27.19,0.263,,2132.0
68,ROCm,Graphics,TRITON,deepseek-v3,fc1,dgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,0.6982,1377.92,27.38,0.159,,2119.0
69,ROCm,Graphics,TRITON,deepseek-v3,fc1,wgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,1.6773,573.59,11.4,0.073,,2259.0
70,ROCm,Graphics,TRITON,deepseek-v3,fc2,fwd,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.4019,1196.77,23.78,0.691,,2183.9
71,ROCm,Graphics,TRITON,deepseek-v3,fc2,dgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.3383,1421.98,28.25,0.287,,2165.2
72,ROCm,Graphics,TRITON,deepseek-v3,fc2,wgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.7596,633.3,12.58,0.053,,2262.1
