TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
55,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,fwd,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.989,243.18,4.83,1.204,,2231.6
56,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,dgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,3.7752,63.71,1.27,0.8,,2278.6
57,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,wgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,4.2093,57.14,1.14,0.052,,2261.6
58,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,fwd,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.3842,313.0,6.22,0.434,,2305.8
59,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,dgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,5.2899,22.73,0.45,0.232,,2331.2
60,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,wgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,2.3114,52.03,1.03,0.093,,2285.6
61,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,fwd,32,8,4096,2,256,8192,4096,7168,bf16,PASS,1.0591,454.21,9.02,0.08,,2218.5
62,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,dgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,7.5168,64.0,1.27,0.936,,2281.8
63,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,wgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,7.6735,62.69,1.25,0.603,,2263.0
64,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,fwd,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.4956,485.3,9.64,1.539,,2295.1
65,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,dgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,5.4136,44.43,0.88,0.009,,2315.1
66,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,wgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,4.0015,60.11,1.19,0.062,,2275.4
67,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,fwd,32,8,4096,4,512,16384,4096,7168,bf16,PASS,1.6355,588.23,11.69,0.51,,2247.5
68,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,dgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,14.1489,68.0,1.35,0.097,,2278.5
69,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,wgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,14.2876,67.34,1.34,0.036,,2261.5
70,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,fwd,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.6397,751.94,14.94,0.713,,2263.5
71,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,dgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,6.6257,72.6,1.44,1.209,,2288.0
72,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,wgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,7.4447,64.61,1.28,0.145,,2269.6
