TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
88,ROCm,Graphics,DeepSeek-V2-Down,10,1024,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
89,ROCm,Graphics,DeepSeek-V2-GateUP,10,2048,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
90,ROCm,Graphics,DeepSeek-V2-Down,10,2048,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
91,ROCm,Graphics,DeepSeek-V2-GateUP,10,4096,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
92,ROCm,Graphics,DeepSeek-V2-Down,10,4096,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
93,ROCm,Graphics,DeepSeek-V2-GateUP,10,8192,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
94,ROCm,Graphics,DeepSeek-V2-Down,10,8192,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
95,ROCm,Graphics,DeepSeek-V2-GateUP,10,16384,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
96,ROCm,Graphics,DeepSeek-V2-Down,10,16384,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
97,ROCm,Graphics,DeepSeek-V2-GateUP,20,512,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
98,ROCm,Graphics,DeepSeek-V2-Down,20,512,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
99,ROCm,Graphics,DeepSeek-V2-GateUP,20,1024,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
100,ROCm,Graphics,DeepSeek-V2-Down,20,1024,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
101,ROCm,Graphics,DeepSeek-V2-GateUP,20,2048,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
102,ROCm,Graphics,DeepSeek-V2-Down,20,2048,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
103,ROCm,Graphics,DeepSeek-V2-GateUP,20,4096,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
104,ROCm,Graphics,DeepSeek-V2-Down,20,4096,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
105,ROCm,Graphics,DeepSeek-V2-GateUP,20,8192,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
106,ROCm,Graphics,DeepSeek-V2-Down,20,8192,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
107,ROCm,Graphics,DeepSeek-V2-GateUP,20,16384,3072,5120,bf16,ERROR,ERROR,0.00,ERROR,0.00
108,ROCm,Graphics,DeepSeek-V2-Down,20,16384,5120,1536,bf16,ERROR,ERROR,0.00,ERROR,0.00
