TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
148,ROCm,Graphics,Grok-2-Down,1,1024,8192,16384,bf16,PASS,0.15,1892.44,7.69,71.49
149,ROCm,Graphics,Grok-2-GateUP,1,2048,32768,8192,bf16,PASS,0.48,2295.89,30.11,73.03
150,ROCm,Graphics,Grok-2-Down,1,2048,8192,16384,bf16,PASS,0.23,2377.93,15.09,72.88
151,ROCm,Graphics,Grok-2-GateUP,1,4096,32768,8192,bf16,PASS,0.95,2307.17,60.22,73.03
152,ROCm,Graphics,Grok-2-Down,1,4096,8192,16384,bf16,PASS,0.46,2385.77,30.67,71.69
153,ROCm,Graphics,Grok-2-GateUP,1,8192,32768,8192,bf16,PASS,1.91,2301.41,122.96,71.54
154,ROCm,Graphics,Grok-2-Down,1,8192,8192,16384,bf16,PASS,0.93,2375.71,64.01,68.71
155,ROCm,Graphics,Grok-2-GateUP,1,16384,32768,8192,bf16,PASS,3.85,2282.79,260.40,67.56
156,ROCm,Graphics,Grok-2-Down,1,16384,8192,16384,bf16,PASS,1.86,2358.58,130.75,67.27
157,ROCm,Graphics,GPT-OSS-20B-GateUP,1,512,5760,2880,bf16,PASS,0.04,390.47,0.59,57.19
158,ROCm,Graphics,GPT-OSS-20B-Down,1,512,2880,2880,bf16,PASS,0.04,227.35,0.31,55.09
159,ROCm,Graphics,GPT-OSS-20B-GateUP,1,1024,5760,2880,bf16,PASS,0.04,913.74,1.01,67.13
160,ROCm,Graphics,GPT-OSS-20B-Down,1,1024,2880,2880,bf16,PASS,0.04,451.62,0.51,66.93
161,ROCm,Graphics,GPT-OSS-20B-GateUP,1,2048,5760,2880,bf16,PASS,0.04,1554.25,1.95,69.55
162,ROCm,Graphics,GPT-OSS-20B-Down,1,2048,2880,2880,bf16,PASS,0.04,916.53,1.00,68.02
163,ROCm,Graphics,GPT-OSS-20B-GateUP,1,4096,5760,2880,bf16,PASS,0.08,1608.23,3.83,70.88
164,ROCm,Graphics,GPT-OSS-20B-Down,1,4096,2880,2880,bf16,PASS,0.04,1592.85,1.93,70.32
165,ROCm,Graphics,GPT-OSS-20B-GateUP,1,8192,5760,2880,bf16,PASS,0.15,1762.99,7.51,72.36
166,ROCm,Graphics,GPT-OSS-20B-Down,1,8192,2880,2880,bf16,PASS,0.08,1637.65,3.78,71.84
167,ROCm,Graphics,GPT-OSS-20B-GateUP,1,16384,5760,2880,bf16,PASS,0.30,1794.00,14.93,72.82
168,ROCm,Graphics,GPT-OSS-20B-Down,1,16384,2880,2880,bf16,PASS,0.16,1737.33,7.52,72.32
169,ROCm,Graphics,GPT-OSS-20B-GateUP,2,512,5760,2880,bf16,PASS,0.07,492.03,0.23,291.37
170,ROCm,Graphics,GPT-OSS-20B-Down,2,512,2880,2880,bf16,PASS,0.07,250.47,0.17,200.66
171,ROCm,Graphics,GPT-OSS-20B-GateUP,2,1024,5760,2880,bf16,PASS,0.07,941.25,0.29,474.85
172,ROCm,Graphics,GPT-OSS-20B-Down,2,1024,2880,2880,bf16,PASS,0.07,497.34,0.18,377.61
173,ROCm,Graphics,GPT-OSS-20B-GateUP,2,2048,5760,2880,bf16,PASS,0.14,950.18,0.39,691.17
174,ROCm,Graphics,GPT-OSS-20B-Down,2,2048,2880,2880,bf16,PASS,0.07,932.71,0.25,549.32
175,ROCm,Graphics,GPT-OSS-20B-GateUP,2,4096,5760,2880,bf16,PASS,0.23,1205.37,0.72,753.76
176,ROCm,Graphics,GPT-OSS-20B-Down,2,4096,2880,2880,bf16,PASS,0.14,938.16,0.46,595.96
177,ROCm,Graphics,GPT-OSS-20B-GateUP,2,8192,5760,2880,bf16,PASS,0.44,1238.35,1.28,849.07
178,ROCm,Graphics,GPT-OSS-20B-Down,2,8192,2880,2880,bf16,PASS,0.23,1200.73,0.82,659.18
179,ROCm,Graphics,GPT-OSS-20B-GateUP,2,16384,5760,2880,bf16,PASS,0.86,1261.34,2.51,867.58
180,ROCm,Graphics,GPT-OSS-20B-Down,2,16384,2880,2880,bf16,PASS,0.45,1214.61,1.62,672.65
181,ROCm,Graphics,GPT-OSS-20B-GateUP,4,512,5760,2880,bf16,PASS,0.08,879.91,0.32,422.82
182,ROCm,Graphics,GPT-OSS-20B-Down,4,512,2880,2880,bf16,PASS,0.07,486.34,0.19,349.55
183,ROCm,Graphics,GPT-OSS-20B-GateUP,4,1024,5760,2880,bf16,PASS,0.15,934.49,0.41,663.52
184,ROCm,Graphics,GPT-OSS-20B-Down,4,1024,2880,2880,bf16,PASS,0.07,925.10,0.25,550.53
185,ROCm,Graphics,GPT-OSS-20B-GateUP,4,2048,5760,2880,bf16,PASS,0.23,1181.57,0.70,779.09
186,ROCm,Graphics,GPT-OSS-20B-Down,4,2048,2880,2880,bf16,PASS,0.15,928.32,0.42,644.51
187,ROCm,Graphics,GPT-OSS-20B-GateUP,4,4096,5760,2880,bf16,PASS,0.44,1223.72,1.17,925.65
188,ROCm,Graphics,GPT-OSS-20B-Down,4,4096,2880,2880,bf16,PASS,0.23,1186.78,0.71,766.61
189,ROCm,Graphics,GPT-OSS-20B-GateUP,4,8192,5760,2880,bf16,PASS,0.87,1250.10,2.28,954.34
190,ROCm,Graphics,GPT-OSS-20B-Down,4,8192,2880,2880,bf16,PASS,0.45,1213.80,1.35,807.20
191,ROCm,Graphics,GPT-OSS-20B-GateUP,4,16384,5760,2880,bf16,PASS,1.68,1294.47,4.51,965.14
192,ROCm,Graphics,GPT-OSS-20B-Down,4,16384,2880,2880,bf16,PASS,0.89,1226.82,2.65,821.99
193,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,512,4096,2048,bf16,PASS,0.07,513.93,0.18,390.43
194,ROCm,Graphics,Qwen3-30B-A3B-Down,4,512,2048,2048,bf16,PASS,0.07,255.63,0.17,203.41
195,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,1024,4096,2048,bf16,PASS,0.07,1024.39,0.22,618.84
196,ROCm,Graphics,Qwen3-30B-A3B-Down,4,1024,2048,2048,bf16,PASS,0.07,512.61,0.17,405.21
197,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,2048,4096,2048,bf16,PASS,0.11,1216.39,0.30,904.47
198,ROCm,Graphics,Qwen3-30B-A3B-Down,4,2048,2048,2048,bf16,PASS,0.07,1035.98,0.17,803.89
199,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,4096,4096,2048,bf16,PASS,0.22,1235.27,0.54,1021.58
