Model,Layer,G,avg_m,M,N,K,transpose_impl,tile_cfg,w_MiB,w_bytes_per_flop,t_transpose_ms,cv_transpose,t_gemm_ms,cv_gemm,t_nocache_ms,cv_nocache,t_triton_ms,cv_triton,tf_gemm,tf_triton,transpose_GBps,speedup_gemm_vs_triton,N_star,sclk_min,sclk_max,sclk_mean,rel_flydsl,rel_triton,flydsl_eq_triton,eff_N1_ms,model_N1_ms,dev_N1_pct,cv_N1,eff_N2_ms,model_N2_ms,dev_N2_pct,cv_N2,eff_N4_ms,model_N4_ms,dev_N4_pct,cv_N4,eff_N8_ms,model_N8_ms,dev_N8_pct,cv_N8,eff_N16_ms,model_N16_ms,dev_N16_pct,cv_N16,eff_N32_ms,model_N32_ms,dev_N32_pct,cv_N32,x_nocache,x_N4,x_N8,x_ceiling,N*
gpt-oss-20b,fc2,4,4096,16384,2880,2880,fast,BM128/BN192/BK64/mw2/nw2/nb3,63.28,0.000244140625,0.01137,0.01013,0.17196,0.00279,0.19459,0.0029,0.21862,0.00321,1580.53,1243.19,11667.3,1.2714,0.244,2002.9,2154.6,2091.4,,,,0.19412,0.18334,5.88,0.00905,0.18306,0.17765,3.05,0.00481,0.17702,0.17481,1.27,0.00238,0.17426,0.17338,0.5,0.0008,0.17326,0.17267,0.34,0.00169,0.17277,0.17232,0.26,0.00228,1.123,1.235,1.255,1.271,0.24
qwen3-30b-a3b,fc1,16,1536,24576,4096,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.0006510416666666,0.03445,0.00476,0.25262,0.00361,0.2925,0.00444,0.29,0.00268,1632.19,1421.79,15584.0,1.148,0.922,2048.9,2157.2,2111.5,,,,0.29498,0.28707,2.76,0.00573,0.2707,0.26984,0.32,0.00239,0.26204,0.26123,0.31,0.00192,0.25747,0.25692,0.21,0.0022,0.25519,0.25477,0.17,0.00215,0.25404,0.25369,0.14,0.00099,0.991,1.107,1.126,1.148,0.92
qwen3-30b-a3b,fc2,16,1536,24576,2048,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.0006510416666666,0.01556,0.03571,0.13958,0.00424,0.17278,0.00394,0.16275,0.00345,1476.96,1266.74,17254.6,1.166,0.672,2104.4,2204.4,2158.8,,,,0.17435,0.15514,12.38,0.01496,0.15548,0.14736,5.51,0.00184,0.14693,0.14347,2.41,0.00199,0.14327,0.14153,1.23,0.00167,0.14153,0.14056,0.69,0.00195,0.14094,0.14007,0.62,0.00096,0.942,1.108,1.136,1.166,0.67
qwen3-30b-a3b,fc1,16,3072,49152,4096,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.0003255208333333,0.03473,0.00545,0.44378,0.00417,0.47953,0.00338,0.56948,0.00361,1858.19,1448.05,15460.6,1.2832,0.276,2024.4,2143.6,2095.5,,,,0.48327,0.47851,0.99,0.00569,0.4612,0.46115,0.01,0.00343,0.45242,0.45246,-0.01,0.0019,0.44789,0.44812,-0.05,0.00225,0.44595,0.44595,0.0,0.00106,0.44408,0.44487,-0.18,0.00337,1.188,1.259,1.271,1.283,0.28
qwen3-30b-a3b,fc2,16,3072,49152,2048,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.0003255208333333,0.01549,0.03546,0.24097,0.00336,0.2707,0.00367,0.31959,0.00416,1711.04,1290.15,17332.2,1.3262,0.197,2064.4,2184.8,2133.5,,,,0.2733,0.25646,6.57,0.0074,0.25648,0.24872,3.12,0.00717,0.24725,0.24485,0.98,0.00296,0.24553,0.24291,1.08,0.00154,0.24306,0.24194,0.46,0.00121,0.24206,0.24146,0.25,0.00228,1.181,1.293,1.302,1.326,0.2
qwen3-30b-a3b,fc1,16,4096,65536,4096,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.000244140625,0.03466,0.00685,0.57145,0.00457,0.60719,0.00488,0.76089,0.00168,1924.07,1445.03,15490.3,1.3315,0.183,2022.1,2139.0,2093.4,,,,0.61009,0.60611,0.66,0.00772,0.58933,0.58878,0.09,0.00123,0.57918,0.58012,-0.16,0.00086,0.57524,0.57578,-0.09,0.00119,0.57218,0.57362,-0.25,0.00048,0.57119,0.57253,-0.23,0.00179,1.253,1.314,1.323,1.332,0.18
qwen3-30b-a3b,fc2,16,4096,65536,2048,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.000244140625,0.01559,0.03787,0.30939,0.00371,0.33689,0.00425,0.42445,0.00588,1776.91,1295.22,17217.2,1.3719,0.136,2053.4,2172.8,2125.0,,,,0.3409,0.32498,4.9,0.0078,0.3221,0.31718,1.55,0.00218,0.31542,0.31329,0.68,0.00234,0.31441,0.31134,0.99,0.00098,0.31312,0.31036,0.89,0.0019,0.31214,0.30988,0.73,0.00112,1.26,1.346,1.35,1.372,0.14
deepseek-v3,fc1,32,1536,49152,4096,7168,fast,BM256/BN256/BK128/mw2/nw2/nb2,1792.0,0.0006510416666666,0.23568,0.00414,1.59737,0.00164,1.82703,0.00326,2.06875,0.00365,1806.85,1395.15,15945.5,1.2951,0.5,1989.8,2084.0,2051.9,,,,1.83976,1.83306,0.37,0.00067,1.71707,1.71522,0.11,0.00157,1.65674,1.6563,0.03,0.00157,1.62833,1.62684,0.09,0.00028,1.61545,1.61211,0.21,0.00069,1.60855,1.60474,0.24,0.00033,1.132,1.249,1.27,1.295,0.5
deepseek-v3,fc2,32,1536,49152,7168,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,896.0,0.0006510416666666,0.11713,0.00654,0.78425,0.00346,0.89437,0.00353,0.97987,0.00186,1840.12,1472.75,16042.9,1.2494,0.599,1967.5,2092.4,2046.9,,,,0.90184,0.90137,0.05,0.00434,0.83754,0.84281,-0.62,0.00207,0.81174,0.81353,-0.22,0.0004,0.79656,0.79889,-0.29,0.0009,0.78833,0.79157,-0.41,0.00207,0.78638,0.78791,-0.19,0.00156,1.096,1.207,1.23,1.249,0.6
deepseek-v3,fc1,32,3072,98304,4096,7168,fast,BM256/BN256/BK128/mw2/nw2/nb2,1792.0,0.0003255208333333,0.23543,0.00413,2.92016,0.00266,3.14099,0.00243,4.11341,0.00195,1976.75,1403.32,15962.8,1.4086,0.197,1987.1,2089.9,2054.9,,,,3.16675,3.15559,0.35,0.00174,3.03794,3.03788,0.0,0.00029,2.97853,2.97902,-0.02,0.00099,2.94939,2.94959,-0.01,0.00127,2.93486,2.93488,-0.0,0.00059,2.92931,2.92752,0.06,0.00016,1.31,1.381,1.395,1.409,0.2
deepseek-v3,fc2,32,3072,98304,7168,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,896.0,0.0003255208333333,0.11676,0.00514,1.43811,0.0028,1.54497,0.00298,1.93418,0.00263,2006.95,1492.22,16093.2,1.3449,0.235,1979.8,2080.2,2046.7,,,,1.55811,1.55487,0.21,0.00247,1.49227,1.49649,-0.28,0.00221,1.46626,1.4673,-0.07,0.00077,1.45093,1.45271,-0.12,0.00188,1.44383,1.44541,-0.11,0.00074,1.43878,1.44176,-0.21,0.00087,1.252,1.319,1.333,1.345,0.24
deepseek-v3,fc1,32,4096,131072,4096,7168,fast,BM256/BN256/BK128/mw2/nw2/nb2,1792.0,0.000244140625,0.23602,0.00303,3.7616,0.00215,3.97142,0.00219,5.47002,0.00166,2046.09,1407.05,15922.8,1.4542,0.138,1992.4,2086.0,2055.3,,,,3.99855,3.99762,0.02,0.0009,3.87535,3.87961,-0.11,0.0014,3.81665,3.8206,-0.1,0.00108,3.78633,3.7911,-0.13,0.00113,3.77178,3.77635,-0.12,0.00047,3.76732,3.76897,-0.04,0.00011,1.377,1.433,1.445,1.454,0.14
deepseek-v3,fc2,32,4096,131072,7168,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,896.0,0.000244140625,0.11732,0.00629,1.8621,0.00381,1.96874,0.00241,2.58258,0.00251,2066.64,1490.1,16016.7,1.3869,0.163,1978.2,2080.8,2047.2,,,,1.98076,1.97942,0.07,0.0046,1.91828,1.92076,-0.13,0.00134,1.88778,1.89143,-0.19,0.00123,1.87659,1.87676,-0.01,0.0006,1.86545,1.86943,-0.21,0.00094,1.86438,1.86576,-0.07,0.00079,1.312,1.368,1.376,1.387,0.16
